Year,Term,Subject,Number,Course Title,Sched Type,Primary Instructor,GPA
2021,Fall,BUS,201,Business Dynamics,LCD,"Kim, Heejin",3.925925925925926
2011,Spring,HDFS,405,Adolescent Development,LEC,"Larson, Reed W",3.482765957446809
2019,Fall,BADM,544,Strategic Management,LCD,"Mahoney, Joseph T",3.4345454545454546
2017,Fall,NPRE,448,Nuclear Syst Engrg & Design,,"Brooks, Caleb",2.949090909090909
2011,Spring,PSYC,413,Psychopharmacology,LEC,"Gulley, Joshua M",2.801825396825397
2014,Fall,IE,360,Facilities Planning and Design,LEC,"Marla, Lavanya",2.972222222222222
2013,Spring,AFRO,381,Black Women and Film,LCD,"Noble, Safiya U",3.79
2021,Spring,ME,270,Design for Manufacturability,OLC,"Flachsbart, Bruce R",3.3733636363636363
2021,Fall,CEE,463,Reinforced Concrete II,LCD,"Andrawes, Bassem O",3.274285714285714
2010,Spring,CHBE,101,Hidden World of Engineering,LEC,"Hammack, William S",3.514583333333333
2018,Spring,CHEM,332,Elementary Organic Chem II,,"Koerner, Michael",2.598640776699029
2015,Spring,ECON,103,Macroeconomic Principles,Q,"Set, Eric B",3.0260526315789478
2015,Spring,SHS,352,Hearing Health and Society,LCD,"Gooler, David M",3.7165957446808506
2021,Fall,RST,316,Human Development and RST,ONL,"Wachter, Cynthia J",3.2024590163934423
2011,Summer,ARTH,111,Ancient to Medieval Art,DIS,"Herrero Matoses, Fernando",3.3490909090909087
2017,Spring,SOCW,451,HBSE I: Human Development,,"Lavizzo, Mia",3.7358333333333333
2017,Fall,ECON,203,Economic Statistics II,,"Petry, Joseph A",3.1664705882352946
2010,Summer,SOCW,501,SW Practice with Groups,LCD,"Lindsey, Brenda C",3.8419047619047624
2015,Fall,ME,402,Design of Thermal Systems,LCD,"Elbel, Stefan",3.536428571428572
2021,Fall,CMN,260,Intro to Health Communication,LCD,"Liao, Danni",2.9292857142857143
2019,Fall,ECON,303,Inter Macroeconomic Theory,DIS,"Zhao, Rui",2.914285714285714
2013,Spring,ENG,333,"Creativity, Innovation, Vision",LCD,"Litchfield, J B",3.4765714285714284
2020,Fall,MCB,251,Exp Techniqs in Molecular Biol,OLB,"Kirchner, Nicholas C",3.6213636363636366
2018,Fall,FIN,580,Big Data Analytics,LCD,"Molitor, David",3.513076923076923
2018,Fall,LAS,101,Freshman Seminar,DIS,"Soranso, Murillo S",3.3207999999999998
2012,Spring,CHEM,105,General Chemistry Lab II,LAB,"Muller, Neal W",3.086129032258065
2018,Spring,MCB,101,Intro Microbiology Laboratory,,"Chapman, Kenneth",3.5
2016,Spring,MATH,220,Calculus,LEC,"Murphy, Robert F",1.9847899159663862
2021,Spring,ACCY,410,Advanced Financial Reporting,OLC,"Chen, Ciao-Wei",3.1625581395348834
2017,Summer,STAT,410,Statistics and Probability II,,"Stepanov, Alexey G",2.8275
2016,Spring,MUS,499,Jazz Forum,CNF,"McNeill, Charles L",3.599074074074074
2017,Spring,BIOE,120,Introduction to Bioengineering,,"Pool, Marcia A",3.7880303030303035
2014,Fall,HDFS,290,Intro to Research Methods,LCD,"McElwain, Nancy L",3.2925000000000004
2018,Fall,REL,110,World Religions,DIS,"Acar, Asena",3.79
2016,Fall,ANTH,143,Biology of Human Behavior,,"Clancy, Kathryn B",3.4365384615384618
2020,Fall,LING,401,Intro to General Phonetics,ONL,"Shosted, Ryan K",3.1114814814814817
2020,Spring,NRES,456,Integrative Ecosystem Mgmt,LCD,"Miller, James R",3.276901408450704
2017,Fall,ECON,471,Intro to Applied Econometrics,,"Arvin-Rad, Hassan",2.5152380952380953
2018,Fall,ANTH,143,Biology of Human Behavior,DIS,"Jelinek, Petra",3.000344827586207
2010,Spring,FSHN,260,Raw Materials for Processing,LEC,"Padua, Graciela W",3.576756756756757
2010,Fall,HIST,110,History of Africa,DIS,"Brennan, James R",3.2223809523809526
2018,Spring,CS,546,Machine Learning in NLP,,"Hockenmaier, Julia C",3.9255294117647055
2020,Spring,MATH,285,Intro Differential Equations,LCD,"Kim, Daesung",3.4537853107344634
2010,Spring,CS,411,Database Systems,LCD,"Chang, Kevin C",3.061018518518518
2010,Spring,CHEM,312,Inorganic Chemistry,LEC,"Shapley, Patricia A",3.06099173553719
2018,Fall,ECON,103,Macroeconomic Principles,DIS,"McDermott, Eric M",3.3938461538461544
2020,Fall,TSM,103,Agric Machinery Technology,ONL,"Kuhns, Brendan M",2.9310344827586206
2013,Spring,BADM,449,Business Policy and Strategy,LCD,"Sleptsov, Alexander",3.7382978723404254
2017,Spring,PSYC,100,Intro Psych,,"Travis, Lisa L",2.8385714285714285
2017,Spring,MACS,264,Creative and Info Economies,,"Grosse, Meghan L",2.667222222222222
2021,Spring,GWS,282,Feminist and Queer Activisms,ONL,"Nguyen, Mimi T",3.8644444444444446
2017,Spring,NPRE,441,Radiation Protection,,"Meng, Ling J",3.528333333333333
2011,Summer,GEOL,100,Planet Earth,DIS,"Long, Ann D",2.9995454545454545
2019,Spring,LER,590,"Infl, Chng & Politics in Org",ONL,"Schultz, James M",3.9417391304347826
2015,Spring,CS,440,Artificial Intelligence,LCD,"Lazebnik, Svetlana",3.118402366863905
2018,Spring,CHBE,430,Unit Operations Laboratory,,"Mitrovski, Svetlana",3.6270666666666664
2010,Fall,SPAN,141,Intro to Spanish Grammar,LCD,"Kim, Ji Young",3.1981818181818182
2020,Winter,ASTR,330,Extraterrestrial Life,ONL,"Dunne, Bryan C",3.475531914893617
2014,Fall,ME,310,Fundamentals of Fluid Dynamics,LEC,"Patyal, Advitya",2.883508771929825
2017,Fall,BADM,320,Principles of Marketing,,"Wolters, Mark E",3.8235331230283904
2011,Fall,MATH,441,Differential Equations,LCD,"Zharnitsky, Vadim",3.3016129032258066
2021,Fall,PSYC,201,Intro to Social Psych,LCD,"Chen, Fan Xuan",2.7760465116279067
2015,Fall,PSYC,201,Intro to Social Psych,LCD,"Albarracin, Dolores",2.9009090909090913
2014,Fall,PHIL,101,Introduction to Philosophy,DIS,"Saenz, Noel B",2.7269230769230766
2015,Fall,FIN,572,Health Care Policy,LCD,"Reif, Julian C",3.349545454545455
2015,Fall,CS,426,Compiler Construction,LCD,"Adve, Vikram S",3.3754166666666667
2010,Fall,FIN,221,Corporate Finance,DIS,"Yao, Chen",3.0854285714285714
2020,Spring,FSHN,471,Food & Industrial Microbiology,LEC,"Miller, Michael J",3.4655882352941174
2010,Fall,SOC,270,Population Issues,LCD,"Swicegood, C G",3.1404
2016,Fall,CHLH,594,Special Topics,,"Klonoff-Cohen, Hillary",3.9421739130434785
2016,Fall,CEE,470,Structural Analysis,,"Duarte, Carlos A",2.869019607843137
2018,Fall,IB,151,Organismal & Evol Biol Lab,LAB,"Whitfield, James B",3.301904761904762
2014,Spring,ARCH,416,Modern American Architecture,LEC,"Cupers, Kenny R",3.1852222222222224
2018,Spring,AHS,494,Accessible Electronic Material,,"Offenstein, Timothy L",3.778333333333333
2011,Summer,BADM,375,Business Process Management,LCD,"Lim, Michael K",3.127659574468085
2019,Fall,PSYC,312,Psychology of Race & Ethnicity,LEC,"Lyubansky, Mikhail",3.3301869158878503
2021,Spring,IS,334,Usable Privacy and Security,ONL,"Kong, Ivan Y",3.507826086956521
2020,Fall,MACS,100,Intro to Popular TV & Movies,OD,"Gu, Jingyi",3.858787878787879
2016,Fall,ACCY,304,Accounting Control Systems,,"Wang, Wei",3.322941176470588
2020,Fall,ACCY,312,Principles of Taxation,OLC,"Penn, Michael W",3.1767647058823525
2019,Fall,LER,110,Labor and Social Movements,ONL,"Saute, Robert",2.024814814814815
2013,Fall,CS,173,Discrete Structures,DIS,"Fleck, Margaret M",3.0006666666666666
2021,Fall,IS,530,Collection Development,ONL,"Holba Puacz, Jeanne T",3.9583333333333335
2014,Fall,ECON,302,Inter Microeconomic Theory,DIS,"Buckley, Bryan D",2.748181818181818
2016,Spring,LAW,680,Professional Responsibility,LCD,"Kordik, Ellen R",3.404556962025316
2016,Fall,BADM,351,Social Media Strategy,,"Larson, Eric",3.816307692307692
2021,Spring,DANC,100,Intro to Contemporary Dance,ONL,"Beck, Kenneth D",3.485454545454546
2014,Fall,CS,101,Intro Computing: Engrg & Sci,LBD,"Gambill, Thomas N",2.803333333333333
2016,Spring,CMN,232,Intro to Intercultural Comm,LCD,"Koven, Michele E",3.7358620689655173
2014,Spring,ECON,103,Macroeconomic Principles,Q,"Veras De Paiva, Henrique",2.7943589743589743
2018,Spring,FIN,411,Investment & Portfolio Mngt,,"Ye, Mao",3.3972972972972975
2015,Spring,CHEM,102,General Chemistry I,LEC,"Hummel, Thomas J",2.2258387096774195
2019,Fall,GS,101,Exploring General Studies,LCD,"Kim, Jessica Y",3.9170833333333337
2011,Summer,CHEM,103,General Chemistry Lab I,LAB,"Xu, Yangfan",3.1994262295081968
2013,Fall,CS,101,Intro Computing: Engrg & Sci,LBD,"Gambill, Thomas N",3.0171794871794875
2012,Summer,PSYC,363,Developmental Psych Lab,LEC,"Elieff, Chryle",3.333636363636364
2020,Fall,CI,476,Teach Elem & Mid Lang Arts,ONL,"MacGregor, Nancy A",3.7925
2015,Fall,FSHN,416,Food Chemistry Laboratory,LEC,"Demejia, Elvira",3.3832499999999994
2018,Fall,CMN,213,Small Group Communication,LCD,"Ruge-Jones, Luisa",3.3220689655172415
2021,Fall,NRES,201,Introductory Soils,OLC,"Mulvaney, Richard L",2.3120512820512817
2014,Spring,SHS,221,American Sign Language II,LCD,"Dramin Weiss, Susan M",3.1245833333333337
2013,Fall,CMN,220,Communicating Public Policy,LCD,"Singh, Rohini S",3.0833333333333335
2016,Fall,SHS,222,Lang&Culture Deaf Communities,,"Davies Brenier, Laura",3.8104761904761904
2017,Fall,CEE,202,Engineering Risk & Uncertainty,,"Sivapalan, Murugesu",3.406666666666666
2011,Summer,ACCY,517,Financial Statement Analysis,LCD,"Ibrahim, Adel Nematallah",3.5911363636363633
2011,Fall,CI,335,Content Area App of Educ Tech,LCD,"Noffke, Susan E",3.9696969696969697
2010,Fall,RHET,105,Principles of Composition,LCD,"Brabant, Stephanie M",3.060909090909091
2010,Spring,SHS,240,Intro Sound & Hearing Science,LEC,"Gooler, David M",3.0249253731343284
2011,Spring,UP,347,Planning Workshop I,LBD,"Olshansky, Robert B",3.0878571428571426
2020,Spring,STAT,200,Statistical Analysis,LEC,"Fireman, Ellen S",3.565555555555555
2020,Spring,FIN,300,Financial Markets,LCD,"Smith, Mark K",2.5141666666666667
2015,Spring,CHLH,101,Introduction to Public Health,DIS,"Kaplan, Justine",3.6259183673469377
2011,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.6672000000000002
2013,Spring,ENGL,247,The British Novel,LCD,"Moore, John L",3.2395238095238095
2021,Fall,IS,430,Foundations Info Processing,ONL,"Trainor, Kevin",3.791875
2018,Fall,BADM,378,Logistics Management,LCD,"Scott, Nehemiah",3.063513513513513
2020,Fall,RST,460,Event Management in RST,ONL,"Deterding, Robyn M",3.7928888888888883
2011,Spring,ENG,315,Learning in Community,LCD,"Litchfield, J B",3.773636363636364
2016,Fall,ME,340,Dynamics of Mechanical Systems,,"Salapaka, Srinivasa M",3.4248387096774193
2012,Summer,IS,458,Instruction and Assistance Sys,ONL,"Wong, Melissa A",3.8475
2011,Spring,CHEM,104,General Chemistry II,PKG,"Yerkes, Christine T",2.6364802631578947
2020,Spring,MCB,247,Human Anat & Physiol Lab II,LAB,"Bielser, Deborah A",3.2989655172413794
2012,Fall,MCB,251,Exp Techniqs in Molecular Biol,LAB,"Kirchner, Nicholas C",3.29
2012,Spring,EPS,427,Philosophy of Middle School,ONL,"Mayo, Cris S",3.915098039215686
2018,Fall,ASTR,121,Solar System and Worlds Beyond,LEC,"Winans, Amanda",3.5357777777777772
2015,Spring,MATH,285,Intro Differential Equations,LCD,"Lierl, Janna U",2.8592187499999997
2011,Fall,CHEM,103,General Chemistry Lab I,LAB,"Karns, Krysten M",3.327822580645161
2010,Spring,CMN,101,Public Speaking,LCD,"Varava, Kira A",3.1743478260869566
2013,Spring,HIST,172,US Hist Since 1877,DIS,"Jordan, Jason C",3.4441666666666664
2015,Fall,CHLH,243,Drug Use and Abuse,LCD,"Jones, Ashleigh E",3.5
2021,Spring,ECON,103,Macroeconomic Principles,OD,"Liu, Yiqiu",3.713255813953489
2018,Fall,ENG,198,Strategies for Intl Developmnt,LCD,"Witmer, Ann-Perry",3.815185185185185
2011,Fall,CPSC,541,Regression Analysis,LEC,"Bullock, Donald G",3.3899999999999997
2019,Fall,PS,241,Comp Politics in Dev Nations,ONL,"Pettit, William M",3.31828125
2011,Spring,ACCY,517,Financial Statement Analysis,LCD,"Ibrahim, Adel Nematallah",3.555333333333333
2013,Fall,ECE,290,Computer Engineering I,LEC,"Loui, Michael C",2.6991150442477876
2020,Spring,FSHN,120,Contemporary Nutrition,ONL,"Burkhalter, Toni M",3.6236559139784945
2017,Spring,ACCY,202,Accounting and Accountancy II,,"Silver, Paige R",3.1489655172413795
2018,Fall,EPS,536,"Race, Gender & Sexuality Issu",ONL,"Pak, Yoon K",3.8668181818181817
2013,Fall,CS,440,Artificial Intelligence,LCD,"Lazebnik, Svetlana",3.1077639751552795
2021,Fall,EDUC,199,Mentoring in Education: Mentee,LCD,"Foellmer, Michael D",3.7204
2014,Fall,SHS,534,Aphasia and Related Disorders,LCD,"Devanga, Suma R",3.6990625
2013,Fall,PHYS,212,University Physics: Elec & Mag,LEC,"Stelzer, Timothy J",2.5847857142857142
2011,Summer,MATH,415,Applied Linear Algebra,LCD,"Haboush, William J",2.9133846153846155
2021,Spring,SOCW,553,Integrated Behav. Health & HC,ONL,"Dunlap Johnson, Kenna E",3.9068
2015,Fall,BUS,101,Business Prof Responsibility,LCD,"DeBrock, Lawrence M",3.9332
2012,Fall,SPED,405,Gen Educator's Role in SPED,LCD,"Taylor, Gregory G",3.5173076923076927
2014,Fall,ECON,302,Inter Microeconomic Theory,DIS,"DiIanni, Isaac",2.6113333333333335
2019,Fall,GWS,100,Intro Gender & Women's Studies,DIS,"Delanthamajalu, Shwetha",3.2932
2011,Fall,RLST,132,Zen,LCD,"Mayer, Alexander L",3.5968421052631583
2012,Fall,CS,173,Discrete Structures,DIS,"Fleck, Margaret M",2.598275862068965
2011,Summer,CHLH,101,Introduction to Public Health,DIS,"Jimenez De Tava, Michelle",3.000769230769231
2021,Fall,CHEM,236,Fundamental Organic Chem I,ONL,"Chan, Jefferson K",2.6426016260162597
2018,Fall,ACE,499,"Audit of Sm, Med, & Ag Bus",LCD,"Martin, Denise",3.2966666666666664
2012,Fall,GWS,363,"Gender, Health & Pop Culture",LCD,"Flynn, Karen",2.9380952380952383
2021,Fall,PSYC,207,Psych of Prejudice & Discrim,LEC,"Dugan, Keely A",3.287088607594937
2014,Fall,RST,110,Service Delivery in RST,LCD,"Raycraft, Michael",3.273731343283582
2012,Fall,CS,398,Computer Architecture,LEC,"Zilles, Craig",2.99
2021,Summer,MATH,241,Calculus III,ONL,"Carpenter, Bruce",2.820833333333333
2020,Winter,MBA,542,Digital Marketing Analytics,ONL,"Hartman, Kevin E",3.9654741379310345
2019,Fall,MATH,124,Finite Mathematics,LCD,"Jones, Paul T",2.8566666666666665
2013,Fall,MCB,245,Human Anat & Physiol Lab I,LAB,"Brown, Chester M",2.8334615384615387
2013,Fall,AE,311,Incompressible Flow,LCD,"Dutton, J C",3.0257142857142862
2010,Fall,ENG,198,Special Topics,LEC,"Price, Raymond L",3.48
2016,Fall,PS,280,Intro to Intl Relations,,"Nagashima, Daniel",3.7272289156626512
2015,Spring,ECE,416,Biosensors,LEC,"Cunningham, Brian T",2.8936000000000006
2012,Fall,RST,200,Leadership in Leisure Services,LCD,"Hardin, Donald R",3.3947368421052633
2015,Fall,ACCY,202,Accounting and Accountancy II,DIS,"Shanahan, Michael J",3.38225
2016,Fall,MATH,125,Elementary Linear Algebra,,"Folwaczny, Lena C",2.7318584070796463
2017,Spring,LER,110,Labor and Social Movements,,"Ashby, Steven",2.575909090909091
2013,Spring,IE,420,Financial Engineering,LCD,"Feng, Liming",3.3335897435897435
2018,Summer,SOCW,526,Managing Human Service Orgs,ONL,"Mauck, Carol W",3.6932
2011,Summer,CEE,461,Reinforced Concrete I,LCD,"Abrams, Daniel P",2.8271604938271606
2015,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.61952380952381
2017,Spring,ENGL,280,Black Women Writers,,"Somerville, Siobhan B",2.9463999999999997
2015,Spring,UP,204,Chicago: Planning & Urban Life,LCD,"Wilson, Beverly K",3.115
2012,Fall,PHIL,101,Introduction to Philosophy,DIS,"Bohall, Jordan M",2.6471428571428572
2019,Fall,MATH,444,Elementary Real Analysis,LCD,"Hinkkanen, Aimo H",3.6085294117647058
2019,Spring,SHS,571,Clinical Sociolinguistics,LCD,"Hengst, Julie A",3.6234782608695655
2017,Fall,MCB,253,Exp Techniqs in Cellular Biol,,"Good, Elizabeth A",3.4545454545454546
2011,Spring,EALC,275,Masterpieces of East Asian Lit,DIS,"Wheeler, John B",3.4250000000000003
2019,Spring,BTW,250,Principles Bus Comm,LCD,"McVicker, Zachariah P",3.7695652173913046
2021,Fall,IS,496,Design for Social Interact Exp,ONL,"Huang, Yun",3.5747999999999998
2017,Fall,FR,156,Exploring Paris,,"Reynolds, Felisa V",3.5504716981132076
2017,Spring,PSYC,238,Abnormal Psych,,"Lyubansky, Mikhail",3.0
2012,Summer,CHEM,332,Elementary Organic Chem II,LCD,"Evans, Michael J",3.123714285714286
2021,Fall,CLCV,115,Mythology of Greece and Rome,DIS,"Reymann, Emma F",3.5517241379310347
2014,Spring,THEA,100,Practicum I,LAB,"Ciofalo, Terry A",3.715365853658537
2015,Spring,IB,100,Biological Sciences,LEC,"Yang, Wendy",3.269230769230769
2019,Spring,ECON,480,Industrial Comp and Monopoly,LCD,"Toossi, Ali",2.436923076923077
2011,Spring,BIOE,205,Circuits & Systems in Bioengrg,LEC,"Gentry, Kenneth",2.434848484848485
2017,Summer,BADM,590,Fostering Creative Thinking,,"Loewenstein, Jeffrey",3.84
2015,Fall,PSYC,465,Personality and Soc Dev,LEC,"Bub, Kristen L",3.0638554216867475
2021,Spring,MATH,231,Calculus II,OLC,"Folwaczny, Lena C",3.3271504424778766
2017,Fall,ENGL,104,Intro to Film,,"Basu, Anustup",3.385384615384616
2010,Fall,PSYC,100,Intro Psych,LCD,"Baym, Carol",2.5319148936170217
2016,Spring,HIST,120,East Asian Civilizations,DIS,"McSweeney, Forrest C",2.7427272727272727
2019,Spring,IS,590,Progr Analytics & Data Process,LCD,"Weible, John D",3.8369387755102045
2019,Fall,PSYC,100,Intro Psych,LCD,"Travis, Lisa L",3.2742222222222224
2016,Spring,ECON,514,International Financial,LCD,"Bebczuk, Ricardo N",3.7652941176470582
2014,Spring,EPS,310,Race and Cultural Diversity,LEC,"Anderson, James D",3.2857142857142856
2016,Fall,IS,351,Design Info Interfaces,,"Ginger, Jeffrey A",3.6668000000000003
2011,Fall,BTW,250,Principles Bus Comm,LCD,"Hine, Angela L",3.669090909090909
2020,Fall,PSYC,100,Intro Psych,OD,"Woods, James W",3.355909090909091
2014,Spring,THEA,101,Introduction to Theatre Arts,ONL,"Morrissette, Jason W",3.6116666666666664
2012,Summer,SHS,577,Advanced Practicum in SHS,LCD,"Cetin, Patricia D",3.9403571428571427
2012,Fall,ACES,101,Contemporary Issues in ACES,DIS,"Simmons, F W",3.909090909090909
2018,Spring,VCM,625,Exotic Mammal Medicine,,"Whittington, Julia K",3.918918918918919
2021,Spring,SHS,321,American Sign Language III,ONL,"Dramin Weiss, Susan M",3.6245833333333337
2014,Fall,FR,103,Intermediate French I,LCD,"Namjoshi, Jui",3.0429166666666667
2016,Spring,ANSC,250,Companion Animals in Society,LEC,"Albert, Sarah D",3.5580068143100507
2021,Spring,AAS,100,Intro Asian American Studies,OD,"Wang, Yu",3.6666666666666665
2016,Spring,RST,199,Disability in RST,ONL,"Ruddell, Jennifer L",3.526315789473684
2015,Summer,ANSC,331,Biology of Reproduction,ONL,"Nowak, Romana A",3.416875
2019,Winter,BADM,300,The Legal Environment of Bus,ONL,"Fricke, Michael R",3.4782089552238804
2016,Spring,ECON,303,Inter Macroeconomic Theory,DIS,"Khan, Asad R",2.811
2019,Spring,CMN,375,The American Family,LEC,"Giorgio, Grace A",3.1117142857142865
2018,Fall,KIN,401,Measure & Eval in Kinesiology,LBD,"Zhu, Weimo",3.317142857142857
2013,Fall,ACES,101,Contemporary Issues in ACES,DIS,"Simmons, F W",3.9565217391304346
2014,Spring,RLST,110,World Religions,DIS,"Mitchell, Nicholas R",3.160740740740741
2018,Spring,BADM,562,Social Media Strategy,,"Larson, Eric",3.7881818181818177
2019,Fall,ECON,437,Game Theory,LCD,"Arga, Desak Nyoman Fi",2.8892307692307693
2015,Spring,ART,100,Understanding Visual Culture,ONL,"Burns, Jennifer",3.5126865671641796
2021,Fall,LING,100,Intro to Language Science,DIS,"Stelzer, Daniel M",3.5519230769230767
2018,Spring,THEA,101,Introduction to Theatre Arts,,"Epplett, Shannon C",3.5991836734693874
2012,Fall,CEE,598,Sustainable Urban Systems,LCD,"Minsker, Barbara S",3.73037037037037
2018,Fall,CHLH,243,Drug Use and Abuse,LCD,"Santens, Ryan L",3.462962962962963
2018,Spring,CHEM,105,General Chemistry Lab II,,"Marville, Kelly",3.8275862068965516
2012,Fall,PSYC,239,Community Psych,LEC,"Kral, Michael J",3.17203125
2011,Summer,ECE,464,Power Electronics,DIS,"Krein, Philip T",2.970877192982456
2014,Spring,GLBL,100,Intro to Global Studies,LCD,"Fitzpatrick, Margaret M",3.8518518518518516
2021,Spring,CS,126,Software Design Studio,ONL,"Woodley, Michael J",3.5388109756097563
2011,Summer,BADM,525,New Product Development,LCD,"Echambadi, Rajagopal",3.5397619047619044
2012,Fall,ANSC,437,Adv Reproductive Management,ONL,"Hutjens, Michael F",3.778571428571429
2019,Fall,FIN,501,Econ of Market Fundamentals,LCD,"Deryugina, Tatyana",3.414545454545454
2016,Spring,CHBE,321,Thermodynamics,LEC,"Sing, Charles E",2.8318181818181816
2021,Fall,CHBE,494,Statistics in Chemical Engrg,LEC,"Kraft, Mary L",3.4525806451612904
2013,Spring,PS,300,Environ Chges & the Midwest,LCD,"Pahre, Robert D",3.3181818181818175
2015,Fall,HIST,390,Integration & American Sports,,,3.767
2018,Spring,ME,320,Heat Transfer,,"King, William P",2.45328125
2021,Spring,ACCY,517,Financial Statement Analysis,OLC,"Li, Yue",3.9200000000000004
2015,Fall,DANC,260,Int Contemp Modern Tech Core,LAB,"Oliver, Cynthia",3.3652380952380954
2011,Summer,GS,101,Exploring General Studies,LCD,"Watson, Sarah D",3.6263636363636365
2017,Spring,CHEM,105,General Chemistry Lab II,,"Daly, Connor I",3.7823076923076924
2010,Spring,KIN,109,Team Sport Activities,LAB,"O'Connor, Jamie A",3.9655172413793105
2015,Summer,MATH,441,Differential Equations,LCD,"Xu, Samantha",2.555555555555556
2018,Spring,CMN,375,World-making: future and past,,"Giorgio, Grace A",3.1305882352941174
2019,Spring,IB,105,Environmental Biology,ONL,"Burnham, Mark B",3.4238095238095236
2018,Spring,TAM,212,Introductory Dynamics,,"West, Matthew",2.9776679841897233
2019,Spring,STAT,100,Statistics,LEC,"Flanagan, Karle A",3.152853403141362
2012,Summer,MATH,220,Calculus,LCD,"Xu, Ping",2.3072000000000004
2011,Spring,BADM,300,The Legal Environment of Bus,LEC,"Roszkowski, Mark E",2.675053003533569
2010,Spring,CS,101,Intro Computing: Engrg & Sci,LBD,"Fister, Andrew E",3.5223076923076926
2018,Fall,MATH,221,Calculus I,LEC,"Folwaczny, Lena C",3.0252444444444446
2011,Spring,ACE,427,Commodity Price Analysis,LCD,"Irwin, Scott H",2.9875471698113203
2017,Fall,PS,230,Intro to Pol Research,,"Bowers, Jake",3.3333333333333335
2012,Fall,AIS,101,Intro to Amer Indian Studies,LCD,"Zundo, Mary E",3.5838888888888882
2015,Summer,FIN,221,Corporate Finance,ONL,"Maurer, Martin",3.7796923076923075
2020,Fall,ECE,365,Data Science and Engineering,OLC,"Veeravalli, Venugopal V",3.46
2015,Spring,LAST,170,Introduction to Latin America,DIS,"Kuyumjian, Marcelo B",3.5141666666666667
2017,Spring,KIN,104,Skating Activities,,"Clarke, Caitlin L",3.727272727272727
2011,Summer,ATMS,502,Numerical Fluid Dynamics,LCD,"Jewett, Brian F",3.6245161290322576
2015,Fall,SOC,100,Introduction to Sociology,DIS,"Schneider, Matthew J",3.271481481481482
2020,Fall,ARTH,402,Ways of Seeing in Edo Japan,OLC,"Burkus-Chasson, Anne",3.4086111111111115
2019,Spring,CHLH,409,Women's Health,LCD,"Rosenblatt, Karin A",3.2637500000000004
2013,Spring,PS,300,Democracy and Peace,LCD,"Miller, Steven V",3.1792307692307693
2018,Spring,CHEM,103,General Chemistry Lab I,,"Gunasekera, Mutha Merenna",3.2962962962962963
2010,Spring,MBA,505,Operations Analysis,LCD,"Petruzzi, Nicholas C",3.6203448275862073
2015,Spring,BTW,271,Persuasive Writing,LCD,"Grohens, Joseph",3.742272727272727
2016,Fall,ECE,476,Power System Analysis,,"Overbye, Thomas J",3.19551724137931
2011,Summer,NPRE,247,Modeling Nuclear Energy System,LCD,"Heuser, Brent J",3.0505000000000004
2019,Spring,MATH,285,Intro Differential Equations,LCD,"Chuang, Jer-Chin",3.0414705882352937
2011,Spring,PSYC,456,Human Perform & Engrg Psych,LEC,"McCarley, Jason S",3.557142857142857
2019,Spring,BADM,562,Social Media Strategy,LCD,"Larson, Eric",3.7296296296296294
2015,Fall,ECON,303,Inter Macroeconomic Theory,DIS,"Khan, Asad R",2.7981818181818183
2018,Fall,BUS,101,Prof Responsibility & Business,LCD,"DeBrock, Lawrence M",3.7504166666666663
2015,Spring,LAW,610,Introduction to Advocacy,LCD,"Benson, Sara R",3.256538461538461
2019,Winter,PSYC,100,Intro Psych,ONL,"Shenouda, Christine K",2.6431034482758617
2011,Spring,ACE,161,Microcomputer Applications,LBD,"Lo, Alexander C",3.8333333333333335
2011,Summer,LER,593,Quantitative Methods in LER,LCD,"Martocchio, Joseph J",3.6483333333333334
2013,Spring,TAM,212,Introductory Dynamics,LCD,"West, Matthew",3.334953271028038
2017,Spring,ACCY,515,Auditing & Assurance Standards,,"Williams, Devin J",3.318260869565217
2020,Spring,CHLH,260,Introduction to Medical Ethics,LEC,"Mamaril, Cezar Brian C",3.696716417910448
2018,Fall,CS,357,Numerical Methods I,LCD,"Silva, Mariana T",3.027671232876713
2020,Spring,ECON,302,Inter Microeconomic Theory,DIS,"Mocanu, Tatiana",2.815862068965517
2020,Spring,ACCY,312,Principles of Taxation,LCD,"Hutchens, Michelle L",3.3917391304347824
2016,Fall,FIN,511,Investments,,"Pollet, Joshua M",3.5559523809523808
2017,Fall,ECON,302,Inter Microeconomic Theory,,"Buckley, Bryan D",2.971944444444445
2010,Spring,MSE,460,Electronic Materials I,LCD,"Rockett, Angus A",3.1595652173913042
2020,Spring,MCB,253,Exp Techniqs in Cellular Biol,LAB,"Good, Elizabeth A",3.8991304347826086
2013,Spring,GEOG,210,Contemp Social & Env Problems,LCD,"Nuesiri, Emmanuel",3.0616901408450703
2011,Spring,MBA,505,Negotiations,LCD,"Rothman, Naomi B",3.5458536585365854
2017,Fall,CS,100,Freshman Orientation,,"Pitt, Leonard B",3.7960197368421054
2016,Spring,THEA,101,Introduction to Theatre Arts,ONL,"Salerno, Michelle",3.768979591836735
2020,Spring,CHBE,494,Statistics in Chemical Engrg,LEC,"Sing, Charles E",3.6804
2014,Fall,ACCY,301,Atg Measurement & Disclosure,LCD,"Jackson, Kevin",3.304117647058823
2017,Spring,BTW,250,Principles Bus Comm,,"Gilmore, Shawn P",3.444761904761905
